iter	Passed	Remaining
405	7220	19457
406	7238	19439
407	7256	19420
408	7273	19400
409	7290	19382
410	7307	19362
411	7324	19342
412	7341	19323
413	7358	19302
414	7374	19280
415	7391	19260
416	7408	19240
417	7425	19220
418	7443	19203
419	7459	19182
420	7478	19165
421	7494	19145
422	7512	19127
423	7529	19108
424	7546	19088
425	7563	19068
426	7581	19050
427	7599	19033
428	7615	19012
429	7634	18996
430	7650	18975
431	7667	18955
432	7684	18935
433	7700	18915
434	7717	18894
435	7735	18878
436	7752	18858
437	7769	18839
438	7787	18820
439	7805	18804
440	7821	18782
441	7839	18765
442	7857	18746
443	7874	18728
444	7891	18708
445	7907	18687
446	7926	18671
447	7943	18654
448	7961	18635
449	7977	18615
450	7994	18594
451	8012	18576
452	8029	18557
453	8046	18539
454	8063	18519
455	8080	18500
456	8097	18481
457	8116	18465
458	8132	18445
459	8148	18422
460	8167	18407
461	8184	18387
462	8199	18365
463	8217	18347
464	8233	18325
465	8250	18306
466	8267	18288
467	8285	18269
468	8301	18248
469	8317	18227
470	8334	18208
471	8351	18188
472	8369	18172
473	8387	18154
474	8403	18133
475	8420	18115
476	8438	18097
477	8454	18076
478	8470	18055
479	8488	18037
480	8506	18020
481	8522	18000
482	8538	17978
483	8555	17959
484	8573	17943
485	8590	17923
486	8606	17902
487	8623	17882
488	8640	17863
489	8655	17840
490	8673	17824
491	8690	17805
492	8707	17785
493	8725	17769
494	8741	17748
495	8758	17729
496	8776	17711
497	8792	17691
498	8809	17672
499	8826	17653
500	8844	17636
501	8861	17616
502	8878	17598
503	8895	17578
504	8912	17559
505	8929	17541
506	8946	17521
507	8963	17502
508	8980	17483
509	8996	17464
510	9014	17446
511	9030	17425
512	9048	17409
513	9065	17389
514	9083	17373
515	9100	17354
516	9116	17333
517	9132	17313
518	9149	17294
519	9167	17277
520	9183	17256
521	9200	17236
522	9217	17218
523	9234	17200
524	9251	17181
525	9268	17162
526	9284	17142
527	9302	17124
528	9318	17104
529	9335	17086
530	9353	17068
531	9370	17049
532	9388	17032
533	9404	17012
534	9421	16993
535	9437	16973
536	9454	16954
537	9470	16934
538	9489	16918
539	9506	16900
540	9523	16882
541	9539	16861
542	9558	16845
543	9575	16827
544	9591	16807
545	9608	16787
546	9625	16770
547	9642	16751
548	9659	16731
549	9676	16713
550	9693	16695
551	9710	16677
552	9729	16661
553	9744	16640
554	9762	16622
555	9779	16603
556	9796	16584
557	9812	16564
558	9829	16545
559	9847	16529
560	9864	16511
561	9881	16492
562	9898	16473
563	9914	16454
564	9932	16436
565	9948	16417
566	9966	16400
567	9984	16382
568	10000	16363
569	10018	16345
570	10035	16327
571	10051	16307
572	10067	16287
573	10084	16269
574	10102	16252
575	10118	16232
576	10135	16213
577	10153	16196
578	10173	16182
579	10189	16162
580	10206	16144
581	10223	16126
582	10239	16106
583	10255	16085
584	10272	16067
585	10289	16048
586	10307	16031
587	10323	16012
588	10340	15992
589	10358	15975
590	10373	15955
591	10391	15937
592	10408	15919
593	10424	15900
594	10441	15882
595	10457	15861
596	10474	15843
597	10491	15825
598	10508	15807
599	10526	15790
600	10543	15770
601	10560	15752
602	10577	15734
603	10593	15715
604	10610	15696
605	10628	15679
606	10645	15661
607	10661	15640
608	10678	15622
609	10694	15603
610	10711	15584
611	10728	15566
612	10744	15547
613	10763	15531
614	10783	15517
615	10800	15498
616	10818	15482
617	10835	15464
618	10852	15445
619	10868	15426
620	10885	15407
621	10902	15390
622	10919	15371
623	10938	15355
624	10953	15334
625	10970	15316
626	10989	15300
627	11004	15280
628	11022	15263
629	11038	15243
630	11056	15226
631	11072	15207
632	11088	15187
633	11106	15171
634	11123	15152
635	11139	15133
636	11157	15116
637	11174	15097
638	11191	15079
639	11207	15059
640	11223	15040
641	11240	15022
642	11257	15004
643	11275	14987
644	11291	14967
645	11310	14951
646	11327	14933
647	11343	14914
648	11361	14897
649	11379	14880
650	11395	14861
651	11412	14843
652	11430	14826
653	11447	14808
654	11464	14790
655	11482	14772
656	11497	14753
657	11514	14734
658	11531	14716
659	11548	14697
660	11565	14679
661	11583	14662
662	11599	14643
663	11616	14624
664	11632	14605
665	11651	14590
666	11667	14571
667	11684	14552
668	11701	14535
669	11717	14515
670	11735	14498
671	11752	14480
672	11768	14460
673	11784	14442
674	11802	14425
675	11822	14410
676	11839	14392
677	11856	14375
678	11873	14357
679	11889	14337
680	11906	14319
681	11923	14300
682	11941	14284
683	11959	14267
684	11976	14249
685	11992	14230
686	12008	14211
687	12025	14192
688	12042	14174
689	12059	14156
690	12075	14137
691	12092	14119
692	12110	14102
693	12125	14082
694	12143	14065
695	12161	14048
696	12177	14029
697	12193	14010
698	12211	13992
699	12229	13976
700	12245	13957
701	12261	13938
702	12280	13922
703	12298	13905
704	12314	13886
705	12331	13868
706	12347	13849
707	12365	13833
708	12382	13814
709	12398	13795
710	12416	13779
711	12433	13761
712	12451	13743
713	12468	13726
714	12487	13710
715	12505	13692
716	12521	13673
717	12539	13657
718	12556	13639
719	12573	13621
720	12591	13604
721	12608	13586
722	12624	13567
723	12640	13548
724	12656	13529
725	12674	13512
726	12691	13495
727	12708	13476
728	12724	13458
729	12741	13439
730	12757	13420
731	12775	13403
732	12792	13385
733	12807	13365
734	12824	13348
735	12841	13329
736	12857	13311
737	12873	13292
738	12890	13274
739	12908	13257
740	12924	13238
741	12942	13221
742	12959	13203
743	12976	13185
744	12995	13169
745	13012	13151
746	13030	13135
747	13047	13117
748	13064	13099
749	13083	13083
750	13100	13065
751	13117	13047
752	13135	13030
753	13151	13011
754	13167	12993
755	13186	12976
756	13204	12959
757	13222	12943
758	13240	12926
759	13258	12909
760	13275	12891
761	13293	12874
762	13310	12856
763	13328	12840
764	13345	12822
765	13364	12806
766	13383	12789
767	13400	12772
768	13419	12756
769	13436	12738
770	13456	12723
771	13474	12706
772	13492	12689
773	13510	12673
774	13530	12657
775	13547	12639
776	13566	12623
777	13584	12606
778	13602	12590
779	13621	12573
780	13640	12557
781	13658	12540
782	13677	12524
783	13695	12507
784	13712	12489
785	13729	12471
786	13746	12453
787	13763	12436
788	13782	12419
789	13800	12403
790	13818	12386
791	13835	12368
792	13854	12352
793	13873	12335
794	13891	12318
795	13908	12300
796	13926	12283
797	13944	12266
798	13961	12249
799	13981	12233
800	14001	12218
801	14019	12201
802	14038	12185
803	14056	12167
804	14074	12151
805	14093	12134
806	14109	12116
807	14127	12099
808	14145	12082
809	14163	12065
810	14181	12047
811	14199	12030
812	14218	12015
813	14236	11997
814	14255	11981
815	14273	11964
816	14290	11946
817	14308	11929
818	14324	11911
819	14342	11894
820	14359	11876
821	14379	11860
822	14399	11844
823	14417	11828
824	14434	11810
825	14452	11792
826	14471	11776
827	14491	11761
828	14512	11746
829	14532	11731
830	14554	11717
831	14576	11703
832	14595	11686
833	14613	11669
834	14632	11653
835	14651	11637
836	14672	11622
837	14692	11606
838	14712	11590
839	14731	11574
840	14751	11558
841	14788	11556
842	14807	11540
843	14824	11522
844	14840	11503
845	14858	11486
846	14877	11469
847	14897	11454
848	14916	11437
849	14933	11420
850	14952	11403
851	14972	11387
852	14992	11371
853	15008	11353
854	15026	11335
855	15044	11318
856	15062	11301
857	15081	11284
858	15097	11266
859	15115	11249
860	15133	11231
861	15151	11214
862	15170	11197
863	15188	11180
864	15207	11164
865	15226	11147
866	15243	11129
867	15261	11111
868	15279	11094
869	15297	11077
870	15312	11058
871	15329	11040
872	15348	11023
873	15367	11006
874	15384	10989
875	15401	10971
876	15420	10954
877	15438	10936
878	15454	10918
879	15472	10901
880	15490	10883
881	15507	10865
882	15525	10848
883	15542	10830
884	15559	10812
885	15576	10794
886	15594	10777
887	15611	10759
888	15628	10741
889	15646	10724
890	15665	10707
891	15682	10689
892	15699	10671
893	15716	10653
894	15734	10635
895	15751	10618
896	15769	10600
897	15785	10582
898	15802	10564
899	15819	10546
900	15835	10527
901	15854	10510
902	15870	10492
903	15888	10475
904	15905	10457
905	15923	10440
906	15940	10421
907	15958	10404
908	15975	10386
909	15994	10369
910	16011	10351
911	16028	10334
912	16045	10315
913	16062	10298
914	16078	10280
915	16095	10262
916	16113	10244
917	16130	10226
918	16146	10208
919	16164	10190
920	16181	10173
921	16200	10156
922	16216	10137
923	16232	10119
924	16249	10101
925	16265	10082
926	16283	10065
927	16299	10046
928	16317	10029
929	16334	10011
930	16350	9992
931	16368	9975
932	16387	9958
933	16403	9940
934	16421	9923
935	16438	9905
936	16454	9886
937	16471	9868
938	16488	9851
939	16504	9832
940	16523	9816
941	16541	9798
942	16559	9780
943	16575	9762
944	16593	9745
945	16610	9727
946	16626	9709
947	16641	9690
948	16660	9673
949	16681	9657
950	16699	9640
951	16716	9622
952	16732	9604
953	16750	9586
954	16766	9568
955	16785	9551
956	16801	9533
957	16820	9516
958	16837	9498
959	16855	9481
960	16873	9463
961	16890	9446
962	16909	9429
963	16926	9411
964	16943	9393
965	16961	9376
