iter	RMSE
0	0.138319834
1	0.1347274754
2	0.1313368377
3	0.1280278936
4	0.1248014518
5	0.1216758334
6	0.1186875771
7	0.1157597515
8	0.1129733133
9	0.1102333173
10	0.1076274866
11	0.1050746878
12	0.1026362116
13	0.1001759665
14	0.09785151347
15	0.09559035545
16	0.09342505582
17	0.09129014907
18	0.08924980462
19	0.0873067001
20	0.08541064096
21	0.08360500919
22	0.08182646487
23	0.08014027243
24	0.07849035691
25	0.07689358042
26	0.07533033591
27	0.07390322858
28	0.0724793913
29	0.07108166222
30	0.0697618059
31	0.06848765854
32	0.06723025367
33	0.06601368559
34	0.06488816276
35	0.06375985023
36	0.06270977436
37	0.06166993821
38	0.06068816904
39	0.05971617229
40	0.05879642777
41	0.05793025633
42	0.05707906845
43	0.05625158365
44	0.05546020692
45	0.05469073572
46	0.05395014863
47	0.05326793726
48	0.05258731876
49	0.05195315461
50	0.0513393031
51	0.05071108776
52	0.05016631253
53	0.04962023968
54	0.04910026093
55	0.04858038612
56	0.04810484789
57	0.04762717415
58	0.04716704426
59	0.04672284434
60	0.04629554061
61	0.04590055714
62	0.04552126052
63	0.04514288293
64	0.04479611448
65	0.04440481174
66	0.04403754729
67	0.04372524663
68	0.0434300384
69	0.04312575183
70	0.04281724466
71	0.04255050792
72	0.04228306007
73	0.04201330953
74	0.04178360523
75	0.0415668418
76	0.04134219653
77	0.04110777935
78	0.04090191049
79	0.04067618298
80	0.04047192508
81	0.04026013255
82	0.04008948469
83	0.03987359901
84	0.0397123981
85	0.03954661547
86	0.03938674238
87	0.03921340453
88	0.03905117513
89	0.03890027744
90	0.03873163567
91	0.03857760588
92	0.03843149712
93	0.03828934597
94	0.03814713118
95	0.03799660974
96	0.03788136055
97	0.03775965715
98	0.0376891899
99	0.03757342687
100	0.0374557613
101	0.03733367653
102	0.03723754857
103	0.03713775588
104	0.03702137337
105	0.03690574239
106	0.03681860822
107	0.03673924474
108	0.03665467652
109	0.03657556763
110	0.03648105482
111	0.0364162563
112	0.03634364418
113	0.0362788321
114	0.03619970253
115	0.03613293919
116	0.03606434438
117	0.0360039892
118	0.03593260095
119	0.0358668215
120	0.03581443923
121	0.03576240359
122	0.03571290916
123	0.03566636572
124	0.03556221762
125	0.03550536236
126	0.0354311774
127	0.03535135453
128	0.03531742839
129	0.03526634318
130	0.03519188191
131	0.03512431505
132	0.03503775534
133	0.0349894776
134	0.03493369769
135	0.03489155861
136	0.03483331458
137	0.03479111624
138	0.03474453397
139	0.03469221065
140	0.03465485681
141	0.03459467017
142	0.03455880367
143	0.03452502298
144	0.03447830755
145	0.03441711201
146	0.03436757051
147	0.03431036006
148	0.03426529001
149	0.03423466251
150	0.03418747809
151	0.03414812702
152	0.03410949838
153	0.03405555137
154	0.03399137556
155	0.03393395079
156	0.03389105829
157	0.0338487098
158	0.03380862179
159	0.03375624647
160	0.03369055739
161	0.03365712906
162	0.03359531832
163	0.03354944582
164	0.03352226066
165	0.03348306298
166	0.03343120002
167	0.03338754644
168	0.03335253691
169	0.03331522317
170	0.03326812097
171	0.03323961904
172	0.03321337829
173	0.0331979772
174	0.03316340707
175	0.03311928162
176	0.03309138676
177	0.03305084579
178	0.03301684821
179	0.03297497187
180	0.0329458793
181	0.03291798585
182	0.03290239011
183	0.03285841226
184	0.03283575016
185	0.03280918167
186	0.03278140495
187	0.03275981318
188	0.0327304127
189	0.03268297631
190	0.03266645127
191	0.03262690344
192	0.03259780623
193	0.03256107663
194	0.03254241004
195	0.03252638909
196	0.03249600589
197	0.03245712084
198	0.03243701304
199	0.03240689323
200	0.03237408267
201	0.0323531821
202	0.03234015621
203	0.03229547796
204	0.03226753659
205	0.03224269523
206	0.03221935145
207	0.0321940445
208	0.03217018198
209	0.03214998336
210	0.03213456329
211	0.03210843991
212	0.03208798487
213	0.03206207206
214	0.03203210889
215	0.03200513247
216	0.03197681928
217	0.03194688792
218	0.03192635606
219	0.03189318266
220	0.03187596047
221	0.03185816716
222	0.03184457971
223	0.03181144719
224	0.03178791077
225	0.03176276379
226	0.03174279963
227	0.0317187288
228	0.03170133878
229	0.03166699146
230	0.03163059421
231	0.03159929562
232	0.03158267301
233	0.03156692838
234	0.03153403854
235	0.03150371462
236	0.03147669059
237	0.03144535777
238	0.03143159911
239	0.03141376939
240	0.03139898999
241	0.03137543561
242	0.03135312255
243	0.03132521994
244	0.03131084949
245	0.03129443144
246	0.03127735283
247	0.0312491506
248	0.03122640083
249	0.03120808911
250	0.03119310959
251	0.03117552264
252	0.03114923896
253	0.03113006215
254	0.03111428312
255	0.03109385528
256	0.03106848699
257	0.03104911873
258	0.03103158834
259	0.03099455869
260	0.0309782675
261	0.03095630538
262	0.03092964276
263	0.03090549914
264	0.03089148303
265	0.03087797843
266	0.03085392934
267	0.03084028404
268	0.03081971279
269	0.03079472816
270	0.03077235681
271	0.03075026261
272	0.03071703143
273	0.03069924077
274	0.03068447868
275	0.03066374352
276	0.0306383274
277	0.03061655642
278	0.03059376506
279	0.0305809843
280	0.03056182746
281	0.0305406225
282	0.03052382943
283	0.03050921354
284	0.03049029152
285	0.03047495345
286	0.03045427484
287	0.03042803194
288	0.03041492069
289	0.0303970974
290	0.03037628552
291	0.03035543274
292	0.03034214097
293	0.03032856758
294	0.03030728586
295	0.03029768474
296	0.03028278496
297	0.03026073111
298	0.03024369981
299	0.0302324136
300	0.03021128865
301	0.0301947942
302	0.03018458338
303	0.03017296473
304	0.03015883557
305	0.03013654007
306	0.03011615466
307	0.03010292765
308	0.03008118259
309	0.03005984991
310	0.03003977317
311	0.03001040013
312	0.02999441983
313	0.02998030975
314	0.0299446199
315	0.02992327716
316	0.02990565057
317	0.02988461512
318	0.0298661052
319	0.02984784142
320	0.02983382252
321	0.02981830245
322	0.02979568184
323	0.02977969644
324	0.02976797834
325	0.02974427623
326	0.02973549049
327	0.02971968708
328	0.0296983511
329	0.0296818739
330	0.02966333818
331	0.02964627408
332	0.02963510756
333	0.02962419297
334	0.02961086191
335	0.02958698609
336	0.0295707964
337	0.02954382786
338	0.02952161517
339	0.02951165677
340	0.02948660271
341	0.02946032127
342	0.02943994132
343	0.0294257905
344	0.02940690672
345	0.02939010203
346	0.02937053129
347	0.02934841305
348	0.02932822182
349	0.0293075556
350	0.02929071903
351	0.02927288743
352	0.02926280292
353	0.02924926193
354	0.02923768126
355	0.02922335699
356	0.02920478669
357	0.02919269712
358	0.02917487646
359	0.02915963053
360	0.02913073324
361	0.02911781467
362	0.02909350602
363	0.02908002186
364	0.02905890834
365	0.02904133411
366	0.02902352869
367	0.02901138833
368	0.02900069947
369	0.0289800415
370	0.02895958509
371	0.02894420143
372	0.02893063694
373	0.02891955947
374	0.02890520888
375	0.02888574402
376	0.02886803264
377	0.02884842959
378	0.02882800409
379	0.02881473785
380	0.02880038041
381	0.02879185846
382	0.02876519567
383	0.02875690781
384	0.02874084543
385	0.02872434358
386	0.02870918043
387	0.02869642883
388	0.0286805941
389	0.02865974611
390	0.02864629905
391	0.02863495453
392	0.02862132401
393	0.02860800175
394	0.02858991118
395	0.0285726175
396	0.0285603259
397	0.02855055861
398	0.02853516408
399	0.02852043056
400	0.02850339111
401	0.02848505596
402	0.02846820279
403	0.02845299905
404	0.02842848939
405	0.0284018082
406	0.02838125902
407	0.02836337035
408	0.0283468594
409	0.02833671166
410	0.02832948878
411	0.02831245965
412	0.02829713815
413	0.0282813785
414	0.02826146611
415	0.02824246417
416	0.02822053856
417	0.02820806467
418	0.02819600295
419	0.0281830593
420	0.02817035936
421	0.02816314506
422	0.02814763514
423	0.02812209161
424	0.02811607814
425	0.02809999828
426	0.02808372679
427	0.02807338121
428	0.02805551455
429	0.02803956493
430	0.02802830831
431	0.02801567669
432	0.02800517835
433	0.02798752252
434	0.0279730197
435	0.02795240849
436	0.02793966961
437	0.02792874627
438	0.02791688229
439	0.02790350572
440	0.0278911125
441	0.02787284686
442	0.02785743545
443	0.02784130419
444	0.02782009919
445	0.02780898557
446	0.02779600009
447	0.02778255541
448	0.02775785721
449	0.02774404284
450	0.0277278964
451	0.02770965046
452	0.02770197869
453	0.02768729207
454	0.02767370372
455	0.0276649663
456	0.0276444963
457	0.02762968799
458	0.02761701502
459	0.02759313602
460	0.02757944145
461	0.02756651738
462	0.02755303614
463	0.02753947005
464	0.02752730496
465	0.02751849729
466	0.02750173169
467	0.02748407604
468	0.02746912342
469	0.02745834259
470	0.02743837842
471	0.02742477614
472	0.02741878256
473	0.02740935553
474	0.02739403794
475	0.02738683917
476	0.02737309078
477	0.02736023749
478	0.02734488712
479	0.02733371889
480	0.02732229831
481	0.02731092471
482	0.02729378997
483	0.0272785804
484	0.02726331035
485	0.02724912722
486	0.02723445821
487	0.0272264472
488	0.02720564963
489	0.02719663917
490	0.02718806252
491	0.02716909445
492	0.02716176039
493	0.02715077002
494	0.02714383331
495	0.02713009577
496	0.027119065
497	0.02710760323
498	0.02709504785
499	0.02708558492
500	0.02707649025
501	0.02706938309
502	0.02706084248
503	0.02704793994
504	0.02703491478
505	0.02701991644
506	0.02699965111
507	0.0269865712
508	0.02697788769
509	0.02696669852
510	0.02695114301
511	0.02694131662
512	0.02692683094
513	0.02691320282
514	0.02690240743
515	0.02688547831
516	0.02687705652
517	0.02685918396
518	0.02684907745
519	0.02684328647
520	0.02682226943
521	0.02681397226
522	0.02680052051
523	0.02678695191
524	0.026773404
525	0.02675805166
526	0.02674534454
527	0.02673156303
528	0.02671969016
529	0.02670743257
530	0.02669404036
531	0.02667957295
532	0.02666789228
533	0.02665581218
534	0.02664263128
535	0.02663690049
536	0.02662549855
537	0.02661052101
538	0.0265994976
539	0.02658872402
540	0.02657606807
541	0.02656859961
542	0.02655705455
543	0.02654410992
544	0.02653182577
545	0.02652586326
546	0.02651312945
547	0.02649782993
548	0.02648550761
549	0.02647350087
550	0.02645947771
551	0.02645167855
552	0.02644221971
553	0.02642658962
554	0.02641419617
555	0.02640658709
556	0.02639679802
557	0.02638702541
558	0.02637504199
559	0.02636959939
560	0.02635744635
561	0.02633791773
562	0.02633113988
563	0.02631400275
564	0.02629984764
565	0.02629115299
566	0.02627524178
567	0.02626538085
568	0.02625180212
569	0.02623528392
570	0.02622158303
571	0.02621075569
572	0.02620138642
573	0.02618976326
574	0.02617957219
575	0.02617391848
576	0.02616104983
577	0.02614836774
578	0.02613900742
579	0.02612844467
580	0.0261169026
581	0.02610492913
582	0.02609914034
583	0.02608813716
584	0.02607260302
585	0.02605960291
586	0.02605414486
587	0.02604645912
588	0.02603851732
589	0.02603008427
590	0.02602135713
591	0.02600967269
592	0.02599841186
593	0.02599047925
594	0.02598281516
595	0.0259726456
596	0.02596433562
597	0.02595013849
598	0.02593725121
599	0.02592447833
600	0.02591103918
601	0.02589771222
602	0.02588723723
603	0.02588412488
604	0.02587224741
605	0.02586590702
606	0.02585673031
607	0.02584250964
608	0.0258312446
609	0.02582131084
610	0.02580969699
611	0.02579982797
612	0.02578775691
613	0.02577689353
614	0.02576534646
615	0.02575171285
616	0.02573957932
617	0.02573452701
618	0.02572755654
619	0.02571699199
620	0.02571161146
621	0.02570017708
622	0.02569341268
623	0.02568314601
624	0.02567045579
625	0.0256581486
626	0.02564828906
627	0.02564288131
628	0.02563245564
629	0.02562499182
630	0.02562123139
631	0.02561120926
632	0.02560159547
633	0.02559011754
634	0.02557610743
